Incomplete,Date,Sessions,% of Sessions
,22/09/2015 0:00,973, <0.1% 
,21/09/2015 0:00,9454, <0.1% 
,20/09/2015 0:00,13453,0.10%
,19/09/2015 0:00,15648,0.10%
,18/09/2015 0:00,12402,0.10%
,17/09/2015 0:00,9826, <0.1% 
,16/09/2015 0:00,9496, <0.1% 
,15/09/2015 0:00,9076, <0.1% 
,14/09/2015 0:00,9596, <0.1% 
,13/09/2015 0:00,13470,0.10%
,12/09/2015 0:00,15330,0.10%
,11/09/2015 0:00,11685, <0.1% 
,10/09/2015 0:00,9489, <0.1% 
,09/09/2015 0:00,9060, <0.1% 
,08/09/2015 0:00,9240, <0.1% 
,07/09/2015 0:00,11648, <0.1% 
,06/09/2015 0:00,13616,0.10%
,05/09/2015 0:00,13889,0.10%
,04/09/2015 0:00,12364,0.10%
,03/09/2015 0:00,11102, <0.1% 
,02/09/2015 0:00,9893, <0.1% 
,01/09/2015 0:00,10010, <0.1% 
,31/08/2015 0:00,9988, <0.1% 
,30/08/2015 0:00,12318,0.10%
,29/08/2015 0:00,13951,0.10%
,28/08/2015 0:00,12156,0.10%
,27/08/2015 0:00,10928, <0.1% 
,26/08/2015 0:00,10262, <0.1% 
,25/08/2015 0:00,10267, <0.1% 
,24/08/2015 0:00,10773, <0.1% 
,23/08/2015 0:00,13004,0.10%
,22/08/2015 0:00,14112,0.10%
,21/08/2015 0:00,12857,0.10%
,20/08/2015 0:00,11971,0.10%
,19/08/2015 0:00,11295, <0.1% 
,18/08/2015 0:00,11144, <0.1% 
,17/08/2015 0:00,11332, <0.1% 
,16/08/2015 0:00,13194,0.10%
,15/08/2015 0:00,12991,0.10%
,14/08/2015 0:00,11399, <0.1% 
,13/08/2015 0:00,8855, <0.1% 
,12/08/2015 0:00,8535, <0.1% 
,11/08/2015 0:00,8252, <0.1% 
,10/08/2015 0:00,8455, <0.1% 
,09/08/2015 0:00,8905, <0.1% 
,08/08/2015 0:00,9389, <0.1% 
,07/08/2015 0:00,9144, <0.1% 
,06/08/2015 0:00,8064, <0.1% 
,05/08/2015 0:00,7557, <0.1% 
,04/08/2015 0:00,7744, <0.1% 
,03/08/2015 0:00,7535, <0.1% 
,02/08/2015 0:00,7386, <0.1% 
,01/08/2015 0:00,8035, <0.1% 
,31/07/2015 0:00,7678, <0.1% 
,30/07/2015 0:00,7177, <0.1% 
,29/07/2015 0:00,7387, <0.1% 
,28/07/2015 0:00,7273, <0.1% 
,27/07/2015 0:00,7603, <0.1% 
,26/07/2015 0:00,8070, <0.1% 
,25/07/2015 0:00,8378, <0.1% 
,24/07/2015 0:00,8311, <0.1% 
,23/07/2015 0:00,7596, <0.1% 
,22/07/2015 0:00,7346, <0.1% 
,21/07/2015 0:00,7346, <0.1% 
,20/07/2015 0:00,7896, <0.1% 
,19/07/2015 0:00,9214, <0.1% 
,18/07/2015 0:00,9312, <0.1% 
,17/07/2015 0:00,9026, <0.1% 
,16/07/2015 0:00,8438, <0.1% 
,15/07/2015 0:00,8171, <0.1% 
,14/07/2015 0:00,8277, <0.1% 
,13/07/2015 0:00,8570, <0.1% 
,12/07/2015 0:00,10278, <0.1% 
,11/07/2015 0:00,9908, <0.1% 
,10/07/2015 0:00,9730, <0.1% 
,09/07/2015 0:00,9199, <0.1% 
,08/07/2015 0:00,9138, <0.1% 
,07/07/2015 0:00,8830, <0.1% 
,06/07/2015 0:00,9329, <0.1% 
,05/07/2015 0:00,10214, <0.1% 
,04/07/2015 0:00,10742, <0.1% 
,03/07/2015 0:00,11002, <0.1% 
,02/07/2015 0:00,11040, <0.1% 
,01/07/2015 0:00,10147, <0.1% 
,30/06/2015 0:00,11094, <0.1% 
,29/06/2015 0:00,13614,0.10%
,28/06/2015 0:00,17423,0.10%
,27/06/2015 0:00,16811,0.10%
,26/06/2015 0:00,16329,0.10%
,25/06/2015 0:00,14780,0.10%
,24/06/2015 0:00,15386,0.10%
,23/06/2015 0:00,14542,0.10%
,22/06/2015 0:00,14467,0.10%
,21/06/2015 0:00,16852,0.10%
,20/06/2015 0:00,17734,0.10%
,19/06/2015 0:00,15522,0.10%
,18/06/2015 0:00,14514,0.10%
,17/06/2015 0:00,13208,0.10%
,16/06/2015 0:00,13470,0.10%
,15/06/2015 0:00,13788,0.10%
,14/06/2015 0:00,15002,0.10%
,13/06/2015 0:00,15704,0.10%
,12/06/2015 0:00,14284,0.10%
,11/06/2015 0:00,13386,0.10%
,10/06/2015 0:00,13312,0.10%
,09/06/2015 0:00,12198,0.10%
,08/06/2015 0:00,12346,0.10%
,07/06/2015 0:00,15080,0.10%
,06/06/2015 0:00,16149,0.10%
,05/06/2015 0:00,13907,0.10%
,04/06/2015 0:00,12662,0.10%
,03/06/2015 0:00,12424,0.10%
,02/06/2015 0:00,12708,0.10%
,01/06/2015 0:00,12036,0.10%
,31/05/2015 0:00,16139,0.10%
,30/05/2015 0:00,16273,0.10%
,29/05/2015 0:00,14805,0.10%
,28/05/2015 0:00,12711,0.10%
,27/05/2015 0:00,12586,0.10%
,26/05/2015 0:00,11991,0.10%
,25/05/2015 0:00,14756,0.10%
,24/05/2015 0:00,15741,0.10%
,23/05/2015 0:00,16581,0.10%
,22/05/2015 0:00,13705,0.10%
,21/05/2015 0:00,11951,0.10%
,20/05/2015 0:00,10613, <0.1% 
,19/05/2015 0:00,10600, <0.1% 
,18/05/2015 0:00,10235, <0.1% 
,17/05/2015 0:00,14226,0.10%
,16/05/2015 0:00,15687,0.10%
,15/05/2015 0:00,12757,0.10%
,14/05/2015 0:00,10682, <0.1% 
,13/05/2015 0:00,9453, <0.1% 
,12/05/2015 0:00,9450, <0.1% 
,11/05/2015 0:00,8369, <0.1% 
,10/05/2015 0:00,12325,0.10%
,09/05/2015 0:00,12654,0.10%
,08/05/2015 0:00,10332, <0.1% 
,07/05/2015 0:00,8466, <0.1% 
,06/05/2015 0:00,8367, <0.1% 
,05/05/2015 0:00,8445, <0.1% 
,04/05/2015 0:00,8374, <0.1% 
,03/05/2015 0:00,11756, <0.1% 
,02/05/2015 0:00,13919,0.10%
,01/05/2015 0:00,10531, <0.1% 
,30/04/2015 0:00,9384, <0.1% 
,29/04/2015 0:00,8901, <0.1% 
,28/04/2015 0:00,9187, <0.1% 
,27/04/2015 0:00,8460, <0.1% 
,26/04/2015 0:00,11918,0.10%
,25/04/2015 0:00,14089,0.10%
,24/04/2015 0:00,11700, <0.1% 
,23/04/2015 0:00,9221, <0.1% 
,22/04/2015 0:00,9071, <0.1% 
,21/04/2015 0:00,8828, <0.1% 
,20/04/2015 0:00,8983, <0.1% 
,19/04/2015 0:00,12615,0.10%
,18/04/2015 0:00,14641,0.10%
,17/04/2015 0:00,11485, <0.1% 
,16/04/2015 0:00,9459, <0.1% 
,15/04/2015 0:00,8973, <0.1% 
,14/04/2015 0:00,9007, <0.1% 
,13/04/2015 0:00,9535, <0.1% 
,12/04/2015 0:00,12440,0.10%
,11/04/2015 0:00,14117,0.10%
,10/04/2015 0:00,12595,0.10%
,09/04/2015 0:00,10729, <0.1% 
